Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787745390,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787745391,25,,Aggregated,0.000000,0.000000,44,68,83,89,120,230,260,320,320,320,320,251,0,44,62.719590039861316,6.808699999965029,324.40879999967365,351.7051792828685
1787745392,50,,Aggregated,0.000000,0.000000,68,88,110,120,190,270,520,540,560,560,560,435,0,68,90.43751793104136,6.808699999965029,559.4748999997137,343.6275862068965
1787745393,50,,Aggregated,30.000000,0.000000,86,130,170,190,250,560,730,740,790,790,790,716,0,86,139.62966061452673,6.808699999965029,788.2450000001882,349.3966480446927
1787745394,50,,Aggregated,172.500000,0.000000,90,120,150,170,230,310,710,740,770,790,790,1089,0,90,126.08050027548194,6.808699999965029,788.2450000001882,344.0220385674931
1787745395,50,,Aggregated,166.333333,0.000000,95,130,150,170,220,260,580,730,770,790,790,1404,0,95,124.5702317663842,6.808699999965029,788.2450000001882,345.34757834757835
1787745396,50,,Aggregated,207.500000,0.000000,98,130,150,160,200,240,560,720,770,790,790,1737,0,98,122.83119015544186,6.808699999965029,788.2450000001882,346.6868163500288
1787745397,50,,Aggregated,234.800000,0.000000,99,130,150,160,190,240,530,710,770,790,790,2107,0,99,120.49202852396992,6.808699999965029,788.2450000001882,345.2534409112482
1787745398,50,,Aggregated,251.666667,0.000000,100,130,150,160,190,230,480,700,770,790,790,2435,0,100,119.75407256673667,6.808699999965029,788.2450000001882,345.95030800821354
1787745399,50,,Aggregated,263.000000,0.000000,100,140,150,160,200,230,310,590,770,790,790,2749,0,100,120.59778272099105,6.808699999965029,788.2450000001882,345.98835940341945
1787745400,50,,Aggregated,274.500000,0.000000,100,140,150,160,190,230,270,570,760,790,790,3083,0,100,120.06117684074049,6.808699999965029,788.2450000001882,346.733376581252
1787745401,50,,Aggregated,280.000000,0.000000,110,140,160,170,200,230,280,560,760,790,790,3370,0,110,121.76820439169065,6.808699999965029,788.2450000001882,347.21839762611273
1787745402,50,,Aggregated,283.800000,0.000000,110,140,160,170,200,230,280,560,760,790,790,3687,0,110,122.23768974776098,6.808699999965029,788.2450000001882,346.1014374830485
1787745403,50,,Aggregated,312.500000,0.000000,110,140,160,170,200,230,270,540,760,790,790,3992,0,110,123.07475626252445,6.808699999965029,788.2450000001882,345.18036072144287
1787745404,50,,Aggregated,311.300000,0.000000,110,140,160,170,200,230,270,520,750,790,790,4328,0,110,122.24124780499024,6.808699999965029,788.2450000001882,344.12384473197784
