query_id,anchor,expected_fact,fact_correct,expected_path,path_correct,elapsed_ms
g01,Driver:driver-li,driver-li|DRIVES|vehicle-cold-a,True,driver-li>xinping-road>national-102,True,98.738
g02,Driver:driver-li,driver-li|HAS_RISK_ON|xinping-road,True,,True,13.799
g03,Vehicle:vehicle-cold-a,driver-li|DRIVES|vehicle-cold-a,True,,True,8.323
g04,Vehicle:vehicle-cold-a,vehicle-cold-a|STATUS|vehicle-broken,True,,True,6.587
g05,Route:xinping-road,xinping-road|HIGH_RISK_WHEN|rain,True,,True,11.132
g06,Route:xinping-road,national-102|ALTERNATIVE_TO|xinping-road,True,,True,10.092
g07,Route:xinping-road,xinping-road|STATUS|wet-road,True,,True,9.413
g08,Route:national-102,national-102|ALTERNATIVE_TO|xinping-road,True,national-102>xinping-road>driver-li,True,9.562
g09,Weather:rain,xinping-road|HIGH_RISK_WHEN|rain,True,,True,17.967
g10,RoadCondition:wet-road,xinping-road|STATUS|wet-road,True,,True,8.041
g11,RoadCondition:wet-road,station-xinping|HAS_RISK_ON|wet-road,True,,True,7.267
g12,RoadCondition:vehicle-broken,vehicle-cold-a|STATUS|vehicle-broken,True,,True,5.978
g13,Station:station-xinping,station-xinping|HAS_RISK_ON|wet-road,True,,True,5.803
g14,Anomaly:rain-slippery,rain-slippery|RESOLVED_BY|reroute-national-102,True,,True,5.429
g15,Resolution:reroute-national-102,rain-slippery|RESOLVED_BY|reroute-national-102,True,,True,6.571
g16,Driver:driver-li,driver-li|DRIVES|vehicle-cold-a,True,driver-li>vehicle-cold-a>vehicle-broken,True,9.397
g17,Route:xinping-road,driver-li|HAS_RISK_ON|xinping-road,True,xinping-road>wet-road>station-xinping,True,9.877
g18,Weather:rain,xinping-road|HIGH_RISK_WHEN|rain,True,rain>xinping-road>national-102,True,9.132
g19,Vehicle:vehicle-cold-a,vehicle-cold-a|STATUS|vehicle-broken,True,vehicle-cold-a>driver-li>xinping-road,True,6.585
g20,Station:station-xinping,station-xinping|HAS_RISK_ON|wet-road,True,station-xinping>wet-road>xinping-road,True,17.86
