Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/dispatch-tasks/:task_id,5620,0,100,113.18189845195533,2.3999000004550908,426.3174000006984,223.0,94.88327855651468,0.0,100,120,140,150,190,220,280,300,400,430,430
GET,GET /api/v1/dispatch-tasks/:task_id/result,2312,0,130,138.58139117650484,6.03919999775826,442.7160000013828,132.0,39.0338327442459,0.0,130,150,160,170,210,240,290,320,420,440,440
GET,GET /api/v1/runtime/threads/:thread_id,784,0,90,105.78358826532798,6.092600000556558,369.82439999701455,30457.0,13.236386190090304,0.0,91,110,130,140,180,220,270,300,370,370,370
GET,GET /health,15546,0,57,66.01614148334608,1.219199999468401,333.2559000009496,319.0,262.4653822846223,0.0,57,69,79,86,120,150,180,220,290,330,330
GRAPH,Neo4j bounded graph query,219,0,4,5.3039493152409785,2.5960000020859297,62.3663000005763,0.0,3.69740889748696,0.0,4,4,5,5,6,8,22,60,62,62,62
POST,POST /api/v1/dispatch-tasks,152,0,73,79.6901467105224,8.445999999821652,292.9997999999614,179.4671052631579,2.5662381388950593,0.0,74,89,110,120,140,180,210,250,290,290,290
POST,POST /api/v1/memory/mutations,65,0,350,316.4939846151146,44.856099997559795,632.1987999981502,339.0,1.0974044672906502,0.0,350,420,510,530,590,600,630,630,630,630,630
POST,POST /api/v1/runtime/threads/:thread_id/overrides,71,0,120,132.27548591549095,15.239100001053885,359.5442000005278,773.6619718309859,1.1987033411944026,0.0,120,160,180,190,240,310,340,360,360,360,360
MEMORY,Qdrant vector query,247,0,7,9.160576113344167,4.499799997574883,72.08240000181831,0.0,4.170136975704471,0.0,7,8,9,9,11,14,44,67,72,72,72
,Aggregated,25016,0,71,84.39416822834225,1.219199999468401,632.1987999981502,1219.2256955548448,422.34877159604474,0.0,71,92,110,120,160,190,240,280,420,610,630
